id;nombre;sexo;trato;circunscripcion;partido;fecha_condicion_plena;fecha_alta;fecha_baja;g_par;fecha_alta_g_par;fecha_baja_g_par;biografia;asiento;gobierno
22;Álvarez González, Alicia;M;Diputada;S/C Tenerife;PSOE;/Date(1692226800000)/;/Date(1691362800000)/;;Socialista;/Date(1693177200000)/;;"Licenciada en Geografía.
Graduada en Derecho.
Funcionaria de la Administración de Justicia.
Viceconsejera de Administraciones Públicas y Transparencia, Gobierno de Canarias.
Directora General de Modernización y Calidad en los Servicios, Gobierno de Canarias.
Directora General de Dependencia y Discapacidad, Gobierno de Canarias.
Concejala de Atención Social del Ayuntamiento de Santa Cruz de Tenerife.";213;0
23;Álvaro Vidal, Francesc-Marc;H;Diputado;Barcelona;ERC;/Date(1692226800000)/;/Date(1691622000000)/;;Republicano;/Date(1693177200000)/;;"Licenciado en Ciencias de la información.   Periodista, escritor y profesor universitario.   Autor de varios libros de temática política y sociológica.   Último título publicado, """"Ensayo general de una revuelta"""", Galaxia Gutenberg";75;0
24;Andala Ubbi, Teslem;M;Diputada;Madrid;MM;/Date(1692226800000)/;/Date(1692140400000)/;;Plurinacional SUMAR;/Date(1693177200000)/;;Ingeniera Informática por la Universidad de Alicante. Ingeniera Big Data por la Universidad Europea. Team Legal Big Data. Santander Global Technologies.;128;0
25;Andrés Añón, Carmen;M;Diputada;Barcelona;PSC;/Date(1692226800000)/;/Date(1691103600000)/;;Socialista;/Date(1693177200000)/;;Licenciada en Derecho.  Funcionaria de la Generalitat de Catalunya  Concejal del Ayuntamiento de Barcelona de 2007 a 2019. ;288;0
26;Antuñano Colina, Pablo;H;Diputado;Cantabria;PSOE;/Date(1757372400000)/;/Date(1754002800000)/;;Socialista;/Date(1757372400000)/;;Bachiller  Gerencia empresa restauración.  Secretario General Grupación Socialista Castro-Urdiales.  Concejal en el Ayuntamiento de Castro-Urdiales;161;0
27;Aragonés Mendiguchía, Carlos;H;Diputado;Madrid;PP;/Date(1692226800000)/;/Date(1691708400000)/;;Popular en el Congreso;/Date(1692313200000)/;;Licenciado en Filosofía por la UCM.  Senador durante la XII Legislatura por Madrid;316;0
28;Aranda Vargas, Francisco;H;Diputado;Barcelona;PSC;/Date(1692226800000)/;/Date(1690930800000)/;;Socialista;/Date(1693177200000)/;;Licenciado en Derecho por la UB (2000)  Posgraduado en Ciencia Política (UB)  Posgrado en Práctica Jurídica (ICAB)  Viceprimer Secretario del PSC de la Federación Vallès Occidental Sud (Actualidad).  Vive en pareja y es padre de una hija;306;0
29;Argota Castro, Trinidad Carmen;M;Diputada;Sevilla;PSOE;/Date(1692226800000)/;/Date(1691103600000)/;;Socialista;/Date(1693177200000)/;;Casada, una hija.  Diplomatura del profesorado, especialidad de Ciencias Sociales en la Escuela Universitaria del Profesorado de la EGB de Sevilla.   Concejala del Excelentísimo Ayuntamiento de La Rinconada (Sevilla) desde el mandato 1991-1995 hasta el 28 de julio del 2023.   Diputada Exma. Diputación de Sevilla desde el mandato 2007-2011 hasta el 6 de julio de 2023. ;109;0
30;Argüelles García, Silverio;H;Diputado;Asturias;PP;/Date(1692226800000)/;/Date(1691449200000)/;;Popular en el Congreso;/Date(1692313200000)/;;Casado, dos hijos.   Técnico superior en Administración y finanzas.   Vicesecretario del PP de Asturias.   Secretario General PP Llanera.   Portavoz PP Ayuntamiento de Llanera. ;284;0
31;Armario González, Blanca;M;Diputada;Cádiz;VOX;/Date(1692226800000)/;/Date(1691622000000)/;;Vox;/Date(1692313200000)/;;Funcionaria de la Consejería de Educación de Andalucía desde 2005.   Diputada por Cádiz en el Parlamento de Andalucía 2022.   Diplomada en Magisterio de Educación Primaria, especialidad en Lengua Extranjera, Inglés.   Ha ostentado cargo de secretaria y dirección de centro educativo público.   Afiliada a Vox, nunca anteriormente a ningún otro partido político.   Presidente del actual CEP provincial. ;26;0
32;Armengol Socias, Francina;M;Diputada;Illes Balears;PSOE;/Date(1692226800000)/;/Date(1691535600000)/;;Socialista;/Date(1693177200000)/;;Licenciada en Farmacia.  Postgrado en Dermofarmacia.  Secretaria General PSIB-PSOE Illes Balears.  Ha sido dos legislaturas Presidenta del Govern de las Illes Balears (2015-2023) y una legislatura Presidenta del Consell Insular de Mallorca (2007-2011);361;0
33;Arribas Maroto, Manuel;H;Diputado;Ávila;PSOE;/Date(1692226800000)/;/Date(1691017200000)/;;Socialista;/Date(1693177200000)/;;Diplomado Altos Estudios de la Defensa Nacional CESEDEN  MBA Administración y Dirección de Empresas  Alcalde de Sanchidrián ;274;0
34;Asarta Cuevas, Alberto;H;Diputado;Castelló;VOX;/Date(1692226800000)/;/Date(1692140400000)/;;Vox;/Date(1692313200000)/;;Casado. Dos hijos y 5 nietos  Militar de carrera retirado con el grado de General de División;16;0
35;Azorín Salar, Lázaro;H;Diputado;Alacant;PSOE;/Date(1692226800000)/;/Date(1691967600000)/;;Socialista;/Date(1693177200000)/;;"Diplomado en Magisterio Educación Física.  Licenciado en Psicopedagogía.  Actividad: Maestro de Educación Primaria.  Secretario General de Agrupación Local Pinoso  Secretario de Relaciones Institucionales Comisión Ejecutiva Provincial. 
Alcalde de Pinoso (Alicante).  Secretario de Comarcas de la Comisión Ejecutiva Provincial";171;0
